TAB,TIMU,DAAN
单选题,250（不含）～350km/h线路轨道质量指数（TQI）管理值III级为（）。,5
单选题,车载式线路检查仪容许偏差管理值车体垂直加速度0.20g为（）级。,Ⅲ
单选题,车载式线路检查仪容许偏差管理值车体水平加速度0.15g为（）级。,Ⅲ
单选题,对轨道几何尺寸Ⅳ级偏差或动力学检测出现横向力、脱轨系数超标，轮重减载率双峰超标处所应立即限速，300～350km/h线路限速不大于（）km/h，200～250km/h线路限速不大于（）km/h。,200160
单选题,高速铁路250（不含）～350km/h正线道岔静态几何尺寸容许偏差管理值水平作业验收标准为（）mm。,2
单选题,高速铁路250（不含）～350km/h正线无砟轨道线路静态几何尺寸容许偏差管理值轨距计划维修值为（）mm。,"(+4,-2)"
单选题,高速铁路250（不含）～350km/h正线无砟轨道线路静态几何尺寸容许偏差管理值轨距为（）mm时需限速不大于200km/h。,"(+6,-4)"
单选题,高速铁路250（不含）～350km/h正线无砟轨道线路静态几何尺寸容许偏差管理值轨距为（）mm时需进行临时补修。,(+5，-3）
单选题,高速铁路250（不含）～350km/h正线无砟轨道线路静态几何尺寸容许偏差管理值三角坑为（）mm时需进行临时补修。,5
单选题,高速铁路250（不含）～350km/h正线无砟轨道线路静态几何尺寸容许偏差管理值三角坑为（）mm时需限速不大于200km/h。,6
单选题,高速铁路250（不含）～350km/h正线无砟轨道线路静态几何尺寸容许偏差管理值三角坑作业验收标准为（）mm。,2
单选题,高速铁路250（不含）～350km/h正线无砟轨道线路静态几何尺寸容许偏差管理值水平计划维修值为（）mm。,4
单选题,高速铁路250（不含）～350km/h正线无砟轨道线路静态几何尺寸容许偏差管理值水平为（）mm时需进行临时补修。,6
单选题,高速铁路250（不含）～350km/h正线无砟轨道线路静态几何尺寸容许偏差管理值水平为（）mm时需限速不大于200km/h。,7
单选题,高速铁路250（不含）～350km/h正线无砟轨道线路静态几何尺寸容许偏差管理值水平作业验收标准为（）mm。,2
单选题,高速铁路区间正线不宜大于（）‰。,20
单选题,线路静态检查周期，动车走行线、到发线几何尺寸检查每（）不少于1遍，重点地段应加强检查，并做好记录。,   季
单选题,以下不属于计划维修基本内容的是（）。,   处理伤损钢轨（含焊缝）和失效胶接绝缘接头
单选题,（）通知驻调度所（驻站）联络员办理开通线路手续。,作业负责人
单选题,钢轨总磨耗量等于垂直磨耗与（）侧面磨耗量相加。,1/2
单选题,250（不含）～350km/h道岔支距计划维修管理值为（）mm。,3
单选题,250（不含）～350km/h道岔支距作业验收管理值为（）mm。,2
单选题,钢轨轨顶面擦伤大于（）mm为轻伤。,0.3
单选题,钢轨轨顶面擦伤大于（）mm为重伤。,1
单选题,Ⅰ级维修负责人由（）担当。,车间主任（副主任）
单选题,拨道作业时线路中心位移一次不得超过（）mm，一侧拨道量年度累计不得大于120mm，并不得侵入限界。,30
单选题,车站、线路所得道岔长期仅开通一个方向使用时，由工务部门对该道岔尖轨和心轨进行紧固，电务部门确认道岔尖轨与心轨密贴状态，同时切断室内外相关转辙机控制电源，车务部门确认进路正确后加锁。工务部门每（）利用天窗时段进行一次检查。,周
单选题,成段更换钢轨或扣件放行列车第一列限速（）km/h，第二列限速80km/h，第三列限速120km/h，第四列起限速160km/h至下次天窗点。,45
单选题,成段更换钢轨时，新、旧长钢轨在线路上存放时应采取可靠的安全措施且存放原则上不得超过（）天。,7
单选题,大型工程机械施工时应按（）设置专人防护，列车接近前应停止作业。,   一机一人
单选题,单根更换钢轨放行列车第一列限速不超过（）km/h，以后恢复常速。,160
单选题,当1h降雨量降至（）mm及以下、且持续30min以上时，可逐步解除限速。,20
单选题,动车组列车在运行途中，司机发现积水高于轨面时，应立即停车并报告列车调度员，确认水面位置。当积水未超过轨面100mm时，司机以随时能够停车速度（最高不超过（）km/h）通过积水地段。,20
单选题,当胶结绝缘接头的轨缝拉开，工务部门必须及时拧紧接头螺栓和前后各（）m扣件螺栓，并做好更换得准备。,50
单选题,当设备发生故障，需在双线区间的一线上道检查、处理设备故障时，本线应封锁、邻线列车限速（）km/h及以下。,160
单选题,《铁路技术管理规程》规定：当无砟轨道区段轨枕板积雪厚度100mm以上时，限速（）及以下。,   200km/h
单选题,《铁路技术管理规程》规定：当运行区段降大雪、暴雪时，有砟轨道区段限速（）km/h及以下。,160
单选题,当运行区段降中雪或积雪覆盖轨枕板或道砟面时，无砟轨道区段限速（）km/h及以下。,250
单选题,道岔查照间隔（心轨工作边至护轨头部外侧的距离）不得小于（）mm。,1391
单选题,道岔岔后到发线连接曲线顺坡率不应大于（）‰。,2
单选题,道岔斥离尖轨非工作边与基本轨工作边的最小距离不小于（）mm与轨距加宽值之和。,65
单选题,道岔的辙叉、尖轨及钢轨伤损更换后不能焊接时，应临时处理并限速，速度不超过（）km/h，并尽快恢复原结构。,160
单选题,道岔平直部分护轨轮缘槽宽度为（）mm，容许误差为－1～+3mm。,42
单选题,道岔平直部分护轨轮缘槽宽度为42mm，容许误差为（）mm。,   -1~+3
单选题,道岔护轨螺栓、可动心轨咽喉和叉后间隔铁螺栓、长心轨和短心轨连接螺栓、钢枕立柱螺栓的同一部位同时有（）根螺栓缺少或折损时，道岔禁止使用。,2
单选题,地震现场采集设备与监控单元间：地震仪外罩外电缆进线端（）mm处为界，该点往外罩侧由工务部门负责维护，往监控单元侧由通信专业负责维护。,100
单选题,动车组列车在环境风速不大于（）m/s时，可以正常速度运行。,15
单选题,对设备的建筑限界由集团公司业务处室组织有关单位每（）年至少检查一次，并由工务、电务、供电、建筑等单位每（）年复量一次。,5，1
单选题,发现牵引供电设备断线及其部件损坏，不得与之接触，应立即通知附近车站，在牵引供电设备检修人员到达未采取措施以前，任何人员均应距已断线索或异物处所（）m以外。,10
单选题,风、雨、雪、异物采集设备与监控单元间：现场轨旁控制箱外电缆进线端（）mm处为界，该点往轨旁控制箱侧由工务部门负责维护，往监控单元侧由通信部门负责维护。,100
单选题,风速监测子系统故障期间，故障区段如遇天气预报（）级及以上大风天气时，工务部门应及时向列车调度员提交天气预报信息。,7
单选题,钢轨折断断缝不大于（）mm时可进行紧急处理。,30
单选题,钢轨折断紧急处理后按不超过（）km/h速度放行列车，且邻线限速不超过160km/h。,45
单选题,钢轨折断临时处理在两锯口间插入同型钢轨，轨端钻孔，安装接头夹板，采用（）级螺栓拧紧，并拧紧两端扣件（）米。,"   10.9,50"
单选题,钢轨钻孔两螺栓孔净距不得小于大孔径的（）倍。,2
单选题,高速铁路250（不含）～350km/h正线无砟轨道线路静态几何尺寸容许偏差管理值轨距作业验收标准为（）mm。,（+1，-1）
单选题,高速铁路的线路平面、纵断面应每（）年至少检查一次，由集团公司工务检测所负责。,5
单选题,高速铁路工务安全规则适用于（）km/h及以上铁路和（）km/h以下仅运行动车组列车的铁路。,200200
单选题,高速铁路固定设备的临时上道检查、故障抢修作业须在（）内登记，并经列车调度员同意后，方可上道作业。,   《行车设备检查登记簿》
单选题,高速铁路技术管理规程适用于（）km/h及以上的铁路和（）km/h以下仅运行动车组列车的铁路。,200200
单选题,高速铁路施工、维修作业天窗结束后，第一趟不可以开行（）的动车组列车。,载客
单选题,高速铁路天窗时间原则上不应少于（）min，且宜采用垂直天窗。,240
单选题,各行车设备管理单位施工作业或遇设备故障、救援抢修等需进入作业门时，作业负责人必须与（）联系确认后，作业人员方准进入作业门。,   驻调度所（驻站）联络员
单选题,各作业单位施工、维修作业完毕后，须及时向驻调度所（驻站）联络员报告办理（）手续。,   销记
单选题,更换钢轨时安装铜导线截面不小于（）mm2。,70
单选题,更换钢轨时铜导线两端用夹具牢固夹持在相邻的（）上。,   轨底
单选题,更换钢轨需拆装扼流变钢轨引线时，拆装作业由（）完成。,电务人员
单选题,更换一股钢轨时，换轨前应连接（）条铜导线。,2
单选题,工程施工须按照批准的（）要求进行，严格执行招投标和监理制度。,   设计文件
单选题,工务部门确认车添乘人员的职责不包括（）。,   确认接触网上无异物或浸入限界
单选题,工务部门使用的临时回流连接线须用截面积不小于（）mm²的软铜线制成，不得出现断股、散股，一经发现立即停用或报废。,70
单选题,有砟道床及轨枕每（）检查不少于1遍，重点地段应加强检查,年
单选题,工务负责联锁道岔转辙部分的轨距及基本轨的移动不超过限度，基本轨不横移，尖轨转动灵活、不偏斜及前后爬行不超过（）mm。,20
单选题,"公里标和半公里标式样应符合规定，安装牢固、可靠。有接触网支柱地段设置在最近的接触网支柱上,标志牌底边距轨面（）m。",3
单选题,故障处理后需要现场看守时，如需在路肩、桥梁作业通道、隧道救援通道看守检查时，应设现场防护员，本线列车限速（）km/h及以下，看守检查人员可在本线一侧路肩、桥梁作业通道、隧道救援通道检查，且不得侵入铁路建筑限界。,160
单选题,故障处理后需要现场看守时，设备管理单位应在《行车设备检查登记簿》内登记，提出（）行车限制条件，并按规定设置防护。,本线及邻线
单选题,滑床板损坏、变形或滑床台磨耗大于（）mm，应及时更换。,3
单选题,基础设施实行天窗修制度，优先采用（）维修模式。,   综合
单选题,基础设施实行天窗修制度应坚持“（）”的原则，实现设备状态修与预防性计划相结合的维方式。,严检慎修
单选题,尖轨尖端至第一牵引点与基本轨或可动心轨尖端至第一牵引点与翼轨间隙大于（）mm，应进行修理或更换。,1
单选题,尖轨相对于基本轨降低值、心轨相对于翼轨降低值偏差超过（）mm，且对行车平稳性有影响，应进行修理或更换。,1
单选题,胶接绝缘接头拉开时，应立即复紧两端各（）m线路的扣件，限速不超过160km/h，并及时进行永久处理。,50
单选题,胶接绝缘接头宜采用现场胶接，胶接绝缘接头与焊接接头间距，正线不应小于（）m。,20
单选题,警冲标的埋设高度为高于轨枕面（）mm。,   300～350
单选题,警冲标应设在两会合线路线间距离为（）m的中间，有曲线时按限界加宽办法加宽。,4
单选题,客专线系列道岔尖轨相对于基本轨允许伸缩位移为（）mm。,   ±40
单选题,客专线系列道岔可动心轨相对于翼轨允许伸缩位移为（）mm。,±20
单选题,邻线来车时，现场防护人员应及时通知作业人员，机具、物料或人员不得在（）放置或停留，并应与列车保持安全距离。,   两线间
单选题,路用列车或施工机械进入施工地段时，应在防护人员显示的停车手信号前停车，再根据的（）要求，按调车办法，进入指定地点。,施工负责人
单选题,精测网应定期复测，复测周期不宜超过（）年。,3
单选题,起道作业两股钢轨同时起道时，一次作业起道量不得超过（）mm，且两股钢轨起道量相差不得超过7mm，否则应通知供电部门调查确认接触网设备调整工作量并配合作业。,30
单选题,起道作业一股钢轨起道时，一次作业起道量不得超过（）mm，否则应通知供电部门调查确认接触网设备调整工作量并配合作业。,7
单选题,抢修作业时，邻线列车接近前，（）通知现场作业负责人停止作业。,   防护人员
单选题,桥梁上一侧拨道量年累计不得大于60mm，且应满足线路中心与桥梁中心的偏差不得大于（）mm。,50
单选题,绕行停留车辆时其距离应不少于（）m，并注意车辆动态和邻线上开来的列车。,5
单选题,任何人员及所携带的物件、作业工器具等必须与牵引供电设备带电部分保持（）m以上的距离，与回流线、架空地线、保护线保持1m以上距离，距离不足时，牵引供电设备必须停电。,2
单选题,伤损标记｜←△△△→｜表示（）。,   连续重伤
单选题,伤损标记↑△△△表示（）。,   一点重伤
单选题,伤损标记｜←△→｜表示（）。,连续轻伤
单选题,伤损标记↑△表示（）。,   一点轻伤
单选题,设备故障处理后的放行列车条件由（）确定。,   作业负责人
单选题,设备管理单位发现风速监测子系统故障时，应立即报告（），并在调度所《行车设备检查登记簿》内登记。,   列车调度员
单选题,设计行车速度350km/h区间及站内正线线间距不得小于（）m。,5
单选题,施工安全整改通知书一式（）份。,   五
单选题,施工防护时短路铜线由（）携带。,现场防护员
单选题,施工维修防护的设置与撤除，由（）决定。,施工负责人
单选题,双线区间一条线路施工时，移动停车信号牌(灯)距离施工地点两头各（）m设置。,20
单选题,天窗作业结束后，工务部门应派专业技术人员添乘（），对线路状态、周边环境进行检查确认。,   确认列车
单选题,铁路行车安全监测设备是保障铁路运输安全的重要技术设备，应具备监测、记录、（）、存取功能。,   报警
单选题,铁路行车组织工作，必须贯彻安全生产的方针，坚持（）、统一领导的原则。,   高度集中
单选题,铁路技术设备，均须有完整和正确反映其状态的文件及（）等相关资料。,   技术履历
单选题,铁路线两侧已经设置围墙、栅栏、防护桩等安全设施后，需要设置（）。,   安全保护区
单选题,铁路线路安全保护区内修建各种建(构)筑物等设施，应征得铁路运输企业同意并签订（）。,   安全协议
单选题,为保证人身安全，除牵引供电专业人员执行有关规定外，任何作业人员及所携带的物件、作业工器具等须与牵引供电设备高压带电部分保持（）m以上的距离，与回流线、架空地线、保护线保持（）m以上的距离。距离不足时，牵引供电设备必须停电，并采取安设接地线等安全防护措施。,2，1
单选题,维修作业应在调度所（车站）与作业地点分别设驻调度所（驻站）联络员和（），并保持联系。,   现场防护员
单选题,未安装雪深监测子系统的区段或雪深监测子系统故障时，（）部门根据降雪情况和需要，在调度所《行车设备检查登记簿》内登记限速申请。,   工务、电务
单选题,无缝线路同一区间内单元轨节最高与最低锁定轨温之差不应大于（）℃（长隧道除外）。,10
单选题,无缝线路相邻单元轨节之间锁定轨温之差不应大于（）℃。,5
单选题,无缝线路应力放散放行列车第一列限速（）km/h。,45
单选题,无缝线路左右股钢轨锁定轨温之差，允许速度160km/h以上线路不应大于（）℃。,3
单选题,下穿铁路桥梁、涵洞的道路，当桥涵净高小于（）m时，应当按照国家标准设置限高防护架和车辆通过限高、限宽标志。,5
单选题,下穿铁路桥梁、涵洞的道路应按照国家标准设置车辆通过（）、（）标志和限高防护架。,   限宽，限高
单选题,下列不属于工务部门管理的设备是（）。,   桥梁栏杆外电缆槽道
单选题,线路允许速度（）km/h及其以上区段，小车仅限在天窗内使用，禁止利用列车间隔使用小车。,160
单选题,线路允许速度小于（）区段，在线路上使用小车时，使用部门必须做到专人使用，专人防护，并应保证在距离列车不少于线路最大速度等级规定的列车紧急制动距离撤出线路。,160
单选题,线路运行速度300-350km/h区段取消大雨限速申请后，当限速120km/h时，第一趟列车提速至（）km/h。,200
单选题,线路运行速度300-350km/h区段取消大雨限速申请后，当限速45km/h时，第一趟列车提速至（）km/h，第二趟列车提速至（）km/h，第三趟列车恢复至常速。,120200
单选题,需人工上道除雪时，上下道应执行登记签认制度。列车调度员应根据相关单位的申请，停止本线接发列车及调车作业，邻线列车限速（）km/h及以下。,160
单选题,汛期应加强（）和（）的设备检查，严格执行汛期安全措施，强化降雨量和洪水位警戒制度、防重点处所监护制度。,   雨中，雨后
单选题,一切建（构）筑物、设备，均不得侵入铁路（）。,   建筑限界
单选题,乙炔瓶不得靠近热源和电器设备。乙炔和明火的距离不得小于()m。,10
单选题,以下不属于计划维修基本内容的是（）。,不良胶接绝缘接头处理
单选题,以下作业项目不属于是施工项目的是（）。, 整修声屏障、进入防护栅栏门内整修防护栅栏
单选题,以下作业项目不属于是维修项目的是（）。,   桥隧涵大修
单选题,应急处置实行（）h值班制度。,24
单选题,有客运站台的车站，房建、工务、车务部门要共同建立统一的站台限界台帐，（）核对一次。,   每季度
单选题,雨量监测子系统故障期间，由（）部门根据降雨情况在调度所《行车设备检查登记簿》内登记限速或封锁。,工务
单选题,遇有降雨天气，当1h降雨量降至（）mm及以下、且持续30min以上时，可逐步解除限速。,20
单选题,遇有降雨天气，重点防洪地段1h降雨量达到45mm及以上时，列车限速（）km/h。,120
单选题,遇有降雨天气，重点防洪地段1h降雨量达到60mm及以上时，列车限速（）km/h。,45
单选题,运营速度为250km/h及以下铁路，如确需采取V形天窗，V形天窗时段邻线限速不超过（）km/h。,160
单选题,在出站道岔上施工，对车站方向，在距离施工地段不少于（）线路上，设置移动停车信号牌(灯)防护。,   50m
单选题,在防洪检查时，需进入路肩范围内或高架桥面检查时，需向列车调度员申请本线封锁、邻线限速（）km/h及以下运行的调度命令。,160
单选题,在钢轨绝缘接头和鱼尾板卸下后，基本轨因曲线或温度关系有变化，造成轨缝不足（）mm或轨缝过大鱼尾板安装不上时，由工务部门负责解决。,6
单选题,在接触网支柱及接触网带电部分（）m范围以内的金属结构物均必须接地，在与接触网相连的支柱及金属结构上，若未装设接地线或接地线已损坏时，严禁人员与之接触。,5
单选题,在距离接触网带电部分（）m的建筑物上施工时，接触网可不停电，但应加强监护，确保人员、机具、材料等与接触网带电部分的距离不小于2m。,   2～4
单选题,在区间线路上施工时使用移动停车信号防护人员应站在距离施工地点（）m附近。,800
单选题,在同一地点同时更换两股钢轨时，需要连接（）铜导线。,   一纵两横
单选题,在线间距不足6.5m地段施工维修而邻线行车时，邻线列车应限速（）km/h及以下，并按规定设置防护。,160
单选题,在线路上进行下列作业时应注意，多组捣固机械同时捣固时（小型液压捣固机），前后距离应不少于（）m，走行应保持同步。,3
单选题,在异物侵限监测系统故障未修复前，设备管理单位须派人在现场（）。,   看守
单选题,在站内道岔上施工，一端距离施工地点（），另一端两条线路距离施工地点50m（距出站信号机不足50m时，为出站信号机处），分别在线路上设置移动停车信号牌（灯）防护。,   50m
单选题,在站内线路上施工时，如施工地点距离道岔小于（）时，在该端警冲标相对处线路上，设置移动停车信号牌（灯）防护。,   50m
单选题,在站内线路施工时，当施工线路两端道岔只能通往施工地点的位置时，在施工地点两端各（）m处线路上设置移动信号牌防护。,50
单选题,辙岔号为（）号及以上的分动外锁闭道岔无表示时，除按规定加锁外，还应通知工务工区紧固。,18
单选题,辙岔号为18号的分动外锁闭道岔密贴尖轨紧固器、斥离尖轨限位器、可动心轨紧固器配置数量分别为（）。,   2、2、1
单选题,辙岔号为42号的分动外锁闭道岔密贴尖轨紧固器、斥离尖轨限位器、可动心轨紧固器配置数量分别为（）。,   3、2、1
单选题,整组道岔在线上做铺设前的纵、横向移动时，应合理布置移动轮和滑行轨道，应由（）统一指挥，平稳移动。,作业负责人
单选题,正常情况下，在天窗时间外，检查人员不得进入（）和（）范围内，必要时应封锁或限速，并做好防护后再检查。,   路肩，桥面
单选题,正线道岔（调节器）几何尺寸检查周期为每（）不少于1遍，重点地段应加强检查，并做好记录。到发线道岔几何尺寸检查周期每（）不少于1遍，重点地段应加强检查，并做好记录。,月、月
单选题,正线作业人员本线来车避车下道距离不小于（）m。,800
单选题,正线作业人员避车应遵守以下规定距钢轨头部外侧不小于（）m。,2
单选题,主要为轨道铺设和运营维护提供控制基准轨道控制网叫做（）。,   CPⅢ
单选题,驻调度所（驻站）联络员向（）传达调度命令。,   作业负责人
单选题,作业地段放行列车时，轨道静态几何尺寸偏差不得超过下次天窗点前最高行车速度等级的（）容许偏差管理值，工务设备状态符合有关规定。,计划维修
单选题,《高速铁路工务安全规则》规定：凡影响工务设备稳定、使用和行车安全的施工作业和维修作业，都必须纳入天窗，（）进行。,   不得利用列车间隔
单选题,高速铁路天窗时间原则上不应少于240min，且宜采用（）天窗。,垂直
单选题,《铁路技术管理规程》规定：有砟轨道区段道砟面积雪厚度（）以上时，限速160km/h及以下。,   50mm
单选题,大型养路机械捣固施工前准备和地面配合具体要求之一是（）。,   预卸预拉石砟
单选题,（）是大型养路机械捣固施工前准备和地面配合具体要求之一。,   提供起拨道量
单选题,捣固车一次起道量不宜超过40mm，起道量超过40mm时应分（）起道捣固。,两次
单选题,捣固车一次拨道量不宜超过（）。,   30mm
单选题,大型养路机械无缝线路地段的作业轨温条件：一次起道量小于30mm，一次拨道量小于10mm时，作业轨温不得超过实际锁定轨温（）。,±20℃
单选题,大型养路机械无缝线路地段的作业轨温条件：一次起道量在（），一次拨道量在10～20mm时，作业轨温不得超过实际锁定轨温－20℃～+15℃。,30～40mm
单选题,动车制动初速度为200km／h时，列车紧急制动距离限值为（）。,2000m
单选题,动车制动初速度为250km／h时，紧急制动距离限值为（）。,   3200m
单选题,大型养路机械有：线路和道岔（）、动力稳定车、配砟整形车、钢轨和道岔打磨车。,   捣固车
单选题,桥长超过3km时，应每隔约（）在线路两侧交错设置1处可上下桥的救援疏散通道，并设置防护门。,   3km
单选题,钢轨硌伤深度大于（）mm为钢轨重伤。,1.5
单选题,高速铁路应根据沿线的风速、降雨量、降雪量、地震动峰值加速度、地质条件以及线路环境、设计速度等情况，建立相应的（）。,   自然灾害及异物侵限监测系统
单选题,线路标志，双线区段设线路标志时，应设在（）。,列车运行方向左侧
单选题,高速铁路的线路标志包括公里标、（）。,   半公里标
单选题,无砟道床维修作业包括（）作业和道床结构损坏修复作业。,   无砟道床伤损修补
单选题,钢轨打磨后应及时清理（）、钢轨表面上的打磨碎屑。,   轨道板
单选题,钢轨折断应立即封锁线路并处理；钢轨重伤应立即限速不超过（）并处理。,   160km/h
单选题,正线钢轨现场焊焊缝平直度，应使用钢轨平直度测量仪（）至少检查1遍，道岔尖轨跟端和低塌达到轻伤的焊接接头，每季度至少检查1遍。,   每年
单选题,钢轨外观及表面伤损检查对钢轨鱼鳞纹、剥离掉块、擦伤、硌伤的检查，（）检查1遍，必要时进行涡流和磁粉探伤。,   每季度
单选题,对磨耗达到轻伤的钢轨、道岔及调节器，应使用钢轨轮廓（磨耗）测量仪（）至少检查1遍。,   每季度
单选题,"钢轨外观及表面伤损检查应采用巡检设备与人工巡视相结合的方式对钢轨外观进行检查,人工巡视检查（）不少于1遍。",   每年
单选题,《高速铁路线路维修规则》规定：其他站线道岔几何尺寸检查周期为（）1遍。,   每半年
单选题,无砟轨道弹性垫板刚度（）抽检1次，（上道使用前五年可不抽检），正线抽检数量：每种扣件3块/50km,   每年
单选题,无砟道床静态检查（）不少于1遍。,每年
单选题,钢轨头部磨耗轻伤和重伤标准：尖轨、心轨、叉跟尖轨轨头宽度10mm断面处重伤标准为（）mm。,3.5
单选题,更换伤损的道岔护轨螺栓、可动心轨咽喉和叉后间隔铁螺栓、长心轨与短心轨联结螺栓是（）内容。,   临时补修
单选题,无砟轨道计划维修基本内容有：无缝线路钢轨位移、钢轨伸缩调节器伸缩量的状态（）和分析。,   观测
单选题,（）指根据线路及其部件的变化规律、特点以及轮轨匹配状态，按周期对线路设备进行的全面检查，依据设备状态评价结果，对钢轨、道岔、钢轨伸缩调节器（以下简称调节器）、扣件、轨枕、道床、无缝线路及轨道几何形位等进行单项或多项修理，以恢复线路完好技术状态。,   计划维修
单选题,钢轨轻伤和重伤标准中，当波长不大于300mm时，平均谷深大于（）mm时，波磨判定为重伤。,0.08
单选题,临时补修指对轨道几何尺寸超过（）容许偏差管理值或轨道设备伤损或轮轨匹配状态不良的钢轨等影响其正常使用的处所进行的临时性修理，以保证行车安全和平稳。,   临时补修
单选题,高速铁路线路维修工作分为（）和临时补修。,计划维修
单选题,高速铁路无缝线路左右两股钢轨绝缘接头应相对铺设，且绝缘接头轨缝绝缘端板距钢轨支承位置不宜小于（）。,100mm
单选题,高速铁路正线应采用（），到发线应采用无缝线路。,   跨区间无缝线路
单选题,高速铁路铝热焊焊缝距承轨台边缘不得小于（）。,100mm
单选题,无缝线路作业发现（）时应立即封锁线路进行处理。,   胀轨跑道
单选题,无缝线路作业起、拨道器不得安放在（）处。,铝热焊缝
单选题,无缝线路作业应严格执行“作业前、作业中、作业后（）”制度。,测量轨温
单选题,高温季节不应安排（）作业。,影响线路稳定
单选题,无缝线路作业必须掌握（），根据作业轨温条件进行作业。,   实际锁定轨温
单选题,"无缝线路夏季线路轨向严重不良，碎弯多,应进行（）。",   应力放散或调整
单选题,高速铁路区间钢轨位移观测桩间距不应大于（）。,500m
单选题,"无缝线路运营中的长轨条（）,说明锁定轨温增加了。",伸长了
单选题,WJ-8型扣件由（）、平垫圈、弹条、绝缘轨距块、轨距挡板、轨下垫板、铁垫板、铁垫板下弹性垫板和预埋套管等组成。,   螺栓道钉
单选题,WJ-8型扣件弹条分两种，即（）型弹条（直径为14mm）和X2型弹条（直径为13mm）。,   W1
单选题,WJ-8型扣件螺旋道钉分为S2型和S3型两种，调高量大于（）时用S3型螺旋道钉。,   15mm
单选题,高速铁路无砟轨道结构混凝土裂纹的修补方法可分为（），无压注浆法、低压注浆法和柔性填充法。,表面封闭法
单选题,高速铁路有砟轨道主要采用（）、弹条V型和FC型三种类型扣件,弹条IV型
单选题,弹条IV型扣件系统由弹条、（）、橡胶垫板和预埋铁座等组成。,绝缘轨距块
