TAB,TIMU,DAAN
单选题,弹条IV型扣件钢轨与绝缘轨距块、绝缘轨距块与预埋铁座间单边间隙之和不应大于（）。,   1mm
单选题,弹条IV型扣件不能进行（）调整，不得垫入调高垫板。,高低
单选题,弹条V型扣件系统由（）、平垫圈、弹条、轨距挡板、轨下垫板和预埋套管等组成。,螺旋道钉
单选题,弹条V型扣件轨下垫板分为两种，即：（）和桥上可能使用的复合垫板。,   橡胶垫板
单选题,弹条V型扣件轨距挡板分（）七种规格，标准轨距时，采用4号和6号。,2号～8号
单选题,弹条V型扣件调高垫板按厚度分为0.5mm、1mm、2mm、（）和8mm五种规格，放置于轨下垫板与轨枕承轨面之间。,   5mm
单选题,弹条V型扣件弹条安装标准：弹条中部前端下颚与钢轨不宜接触，两者间隙不得大于（）。,0.5mm
单选题,弹条V型扣件钢轨与轨距挡板间隙不得大于（）。,   1mm
单选题,弹条V型扣件（）应保证有一定的防护油脂，油脂性能应符合相关规定。,预埋套管中
单选题,FC型扣件钢轨与绝缘轨距块、绝缘轨距块与预埋铁座间单边间隙之和不应大于（）。,   1mm
单选题,FC型扣件高低调整：扣件不能进行（）调整，不得垫入调高垫板。,高低
单选题,高速铁路无砟轨道主要采用（）、WJ-8型、300-1型和SFC型扣件。,   WJ-7型
单选题,WJ-7型扣件按无砟道床形式应为（）扣件。,无挡肩
单选题,WJ-8型扣件按无砟道床形式应为（）扣件。,   有挡肩
单选题,300－1型扣件按无砟道床形式应为（）扣件。,   有挡肩
单选题,SFC型扣件按无砟道床形式应为（）扣件。,无挡肩
单选题,WJ-7型扣件由（）、螺母、平垫圈、弹条、绝缘块、铁垫板、轨下垫板、绝缘缓冲垫板、重型弹簧垫圈、平垫块、锚固螺栓和预埋套管等组成。,T型螺栓
单选题,WJ-7型扣件弹条分为两种，即（）型弹条（直径为14mm）和X2型弹条（直径为13mm），其中桥上采用小阻力扣件时使用X2型弹条。,   W1
单选题,WJ-7型扣件轨下垫板分为A、B两类，每类又分为橡胶垫板和桥上采用小阻力扣件时配套使用的（）。,   复合垫板
单选题,WJ-7型扣件对T型螺栓应进行定期（），防止螺栓锈蚀，油脂性能应符合相关规定。,涂油
单选题,WJ-7型扣件（）中应保证有一定的防护油脂，油脂性能应符合相关规定。,   预埋套管
单选题,WJ-7型扣件安装铁垫板时，轨底坡方向应朝向轨道（）。,内侧
单选题,WJ-7型扣件弹条安装标准：弹条中部前端下颚与绝缘块不宜接触，两者间隙不得大于（）。,0.5mm
单选题,WJ-7型扣件弹条日常保持：弹条中部前端下颚与绝缘块不宜接触，两者间隙不得大于（）。,1mm
单选题,WJ-7型扣件锚固螺栓扭矩为（）N·m。,   300～350
单选题,WJ-7型扣件钢轨与绝缘块、绝缘块与铁垫板挡肩间单边间隙之和不得大于（）。,1mm
单选题,WJ-8型扣件轨距挡板分为两种，即一般地段用轨距挡板和（）轨距挡板。,   夹板处用接头
单选题,WJ-8型扣件铁垫板下弹性垫板分为A、B两类（厚度均为12mm）。A类弹性垫板用于兼顾货运的高速铁路，B类弹性垫板用于（）的高速铁路。,   仅运行动车组
单选题,WJ-8型扣件（）中应保证有一定的防护油脂，油脂性能应符合相关规定。,   预埋套管
单选题,WJ-8型扣件弹条安装标准：弹条中部前端下颚与绝缘轨距块不宜接触，两者间隙不得大于（）。,0.5mm
单选题,WJ-8型扣件日常保持：弹条中部前端下颚与绝缘轨距块不宜接触，两者间隙不得大于（）mm。,1mm
单选题,WJ-8型扣件钢轨与绝缘轨距块、绝缘轨距块与铁垫板挡肩间缝隙之和不得大于（）。,1mm
单选题,300-1型扣件分为300-1a型和300-1u型两种。扣件由（）、绝缘垫片、轨距挡板、螺栓、轨下垫板、铁垫板、弹性垫板和预埋套管等组成，为满足高低调整需要，还包括调高垫板。,弹条
单选题,300-1型扣件标准规格螺栓（Ss36-230）长度为230mm。为满足（）调整需要，配有长度为240mm和250mm的螺栓。,高低
单选题,300-1型扣件标准规格轨下垫板厚度为6mm。为满足高低调整需要，配有厚度为2mm、3mm、4mm、5mm、7mm和（）的轨下垫板。,8mm
单选题,300-1型扣件预埋套管中应保证有一定的（），油脂性能应符合相关规定。,   防护油脂
单选题,300-1型扣件弹条安装标准：弹条中部前端与轨距挡板前端突起部分不宜接触，两者间隙不得大于（）。,0.5mm
单选题,300-1型扣件弹条养护标准：弹条中部前端与轨距挡板前端突起部分不宜接触，两者间隙不得大于（）。,1mm
单选题,300-1型扣件轨距挡板应与承轨槽挡肩密贴，钢轨与轨距挡板单边间隙不得大于（）。,1mm
单选题,SFC型扣件分为直列式和错列式两种。扣件由（）、绝缘帽、铸铁底板、绝缘轨距块、橡胶垫板、锚固螺栓、贝式垫片、锯齿垫片、耦合垫板和预埋套管等组成。,弹条
单选题,SFC型扣件（）中应保证有一定的防护油脂，油脂性能应符合相关规定。,   预埋套管
单选题,SFC型扣件安装铸铁底板时，轨底坡方向应朝向轨道（）。,内侧
单选题,SFC型扣件锚固螺栓扭矩为（）N·m。,150～200
单选题,高速道岔均为（）道岔。,   单开
单选题,某条高速铁路线路钢轨折断后量取断缝值为18mm，应立即进行（）处理。,紧急处理
单选题,当钢轨折损严重、断缝超过30mm或紧急处理后不能及时焊复时，应切除伤损部分，在两锯口间插入长度不短于（）的同型钢轨，轨端钻孔，安装接头夹板，用10.9级螺栓拧紧，拧紧短轨前后各50m范围内的扣件，按不超过160km/h速度放行列车。,6m
单选题,发现钢轨折断时应立即封锁线路，并根据现场情况采取（）、临时处理或永久处理。,   紧急处理
单选题,某条高速铁路线路钢轨折断后量取断缝值为28mm，经紧急处理后，本线派专人看守放行列车速度不超过（）。,45km/h
单选题,某条高速铁路线路钢轨折断后量取断缝值为28mm，经紧急处理后，本线派专人看守放行列车速度为45km/h，邻线限速不超过（）。,   160km/h
单选题,严禁在钢轨（道岔轨件）的任何部分刻痕，焊接附件，严禁（）。,   锤击轨底
单选题,钢轨钻孔位置应在螺栓孔中心线上，且必须（）。两螺栓孔净距不得小于大孔径的两倍。,   倒棱
单选题,当发现钢轨内部轻伤有发展时，应采用无损加固处理。伤损加固时，应尽量使伤损部位处于（），严禁夹板与焊筋接触。,   夹板中部
单选题,高速铁路钢轨顶面上有长度大于30mm且深度大于（）的掉块应判定为钢轨折断。,   5mm
单选题,用切割机切割钢轨时，其他人员应（）锯轨机两侧和前方，防止锯片碎裂伤人。,   远离
单选题,高速铁路施工作业和应纳入天窗的维修作业应在（）进行。,天窗内
单选题,高速铁路需临时拆除防护栅栏时，应设置临时防护设施并派人（）看守。,昼夜
单选题,天窗时间外，遇有暴风雨雪天气或地震，设备管理单位检查发现影响行车安全时，如需进入铁路建筑限界内检查，本线封锁、邻线列车限速（）。,160km/h及以下
单选题,在双线区间，故障处理后需要现场看守时，设备管理单位应在《行车设备检查登记簿》内登记，提出（）行车限制条件。,   本线及邻线
单选题,高速铁路天窗内，上道前和跨越线路时应严格遵守“（）”和“手比、眼看、口呼”的规定，严禁抢越。,一停、二看、三通过
单选题,发现道岔尖轨、基本轨、可动心轨、翼轨折断时应（），进行处理。,封锁线路
单选题,焊接接头可采用小型钢轨打磨机进行打磨，严禁使用（）打磨,手砂轮
单选题,永久处理进行焊复处理时，应保持无缝线路锁定轨温不变。作业轨温宜低于实际锁定轨温0～20℃。当采用插入短轨焊复时，短轨长度不得小于（）。,20m
单选题,轨道动态偏差管理值中轨距变化率计算基长为（）。,3m
单选题,车辆动力学指标管理值中脱轨系数管理值为Q/P≤（）。,0.8
单选题,复合不平顺指水平和轨向逆相位复合不平顺，按水平和波长（）轨向代数差计算。,1.5～42m
单选题,对轨道检查仪、轨道测量仪等较大的测量设备，应在（）增设检定点。,车间
单选题,正线钢轨现场焊焊缝平直度，应使用钢轨平直度测量仪每年至少检查1遍，对低塌达到轻伤的焊接接头，每（）至少检查1遍。,每季度
单选题,有砟桥上设置护轨时，护轨与基本轨头部间净距为500mm（梭头部位除外），容许偏差为（）mm。,"10,-5"
单选题,有砟桥上设置护轨时，护轨顶面不应高出基本轨顶面（）mm，也不应低于基本轨顶面25mm。,5
单选题,工务、电务、供电部门应利用天窗时间对碰撞异物地点前后（）范围内的设备进行重点检查。,2km
单选题,晃车时刻列车运行速度为160km及以上时，列车调度员应向后续首列发布限速120km/h的调度命令，限速位置应该按司机汇报的晃车地点前后各（）确定。,1km
单选题,应采用探伤仪对焊接接头、站线、道岔（包括尖轨和心轨变截面部分）、调节器（含尖轨变截面部分）及其前后（）钢轨进行周期性探伤。,60m
单选题,使用钢轨探伤车对正线钢轨每年探伤不少于（）遍（其中每季不少于1遍）。,6
单选题,使用钢轨探伤仪对正线道岔及调节器的钢轨（）检查1遍,每月
单选题,对正线无缝线路和道岔、调节器钢轨的焊缝还应使用焊缝探伤仪进行全断面探伤，厂焊焊缝轨底每（）年检查1遍；现场闪光焊、数控气压焊焊缝每年检查1遍，铝热焊焊缝每半年检查1遍。,五
单选题,对正线无缝线路和道岔、调节器钢轨的焊缝还应使用焊缝探伤仪进行全断面探伤，厂焊焊缝轨底每5年检查1遍；现场闪光焊、数控气压焊焊缝每（）年检查1遍，铝热焊焊缝每半年检查1遍。,一
单选题,对正线无缝线路和道岔、调节器钢轨的焊缝还应使用焊缝探伤仪进行全断面探伤，厂焊焊缝轨底每5年检查1遍；现场闪光焊、数控气压焊焊缝每年检查1遍，铝热焊焊缝每（）年检查1遍。,半
单选题,60kg/m钢轨高度为（）mm，质量约为60kg/m。,176
单选题,客专线道岔在尖轨闭合状态下，辊轮与尖轨轨底侧面的空隙的空隙应为（）。,1～2mm
单选题,客专线道岔尖轨轨底与滑床台上表面的间隙应为（）。,1～3mm
单选题,客专线18号道岔导曲线线型为单圆曲线、半径为（）。,1100m
单选题,高速铁路最小坡段长度一般条件下不应小于（）m，且不宜连续使用。,900m
单选题,高速铁路最小坡段长度困难条件下不应小于（）m，且不应连续使用,600m
单选题,列车全部停站的车站两端坡段长度不应小于（）m,400m
单选题,客货共线铁路正线最小坡段长度一般条件下不宜小于（）m，且不宜连续使用,600m
单选题,客货共线铁路正线最小坡段长度困难条件下不应小于（）m，且不应连续使用,400m
单选题,对于CN道岔尖轨辊轮CZr3e-11-00及CZr2e-11-00，尖轨处于斥离状态时，尖轨轨底与滑床台板之间的间隙为（）mm,0.7～3
单选题,对于CN道岔尖轨辊轮CZr3e-11-00及CZr2e-11-00，尖轨处于密贴状态时，尖轨轨底与滑床台板之间的间隙为（）mm,0.5～1
单选题,防跳轮与斥离尖轨轨底上表面间隙应为（）mm。,2～5
单选题,高铁正线最大竖曲线半径不应大于（）。,30000m
单选题,高速铁路正线设计行车速度300km/h区段，最小竖曲线半径一般应不小于（）。,25000m
单选题,高速铁路正线设计行车速度250km/h区段，最小竖曲线半径一般应不小于（）。,20000m
单选题,高速铁路正线设计行车速度200km/h区段，最小竖曲线半径一般应不小于（）。,15000m
多选题,200km/h及以上铁路应建立（）“三网合一”的精密测量控制网。,"勘察设计,    工程施工,    运营维护"
多选题,WJ-7型扣件弹条分（）两种类型。,"W1,    X2"
多选题,材料工具装载应制定专门的装载方案，确保装载稳固，不得（）。,"偏载,    超载,    超限"
多选题,对设备的建筑限界由铁路局业务处室组织有关单位每五年至少检查一次，并由（）等单位每年复量一次。,"工务,    电务,    供电,    建筑"
多选题,发现钢轨折断时应立即封锁线路，并根据现场情况采取（）。,"紧急处理,    临时处理,    永久处理"
多选题,更换钢轨需拆装扼流变钢轨引线时，拆装作业不应由（）完成。,"   工务人员,    供电人员,    通信人员"
多选题,上道前和跨越线路时应严格遵守“一停二看三通过”和“（）”的规定，严禁抢越。,"   手比,    眼看,    口呼"
多选题,属于钢轨伤损形式的有（）。,"轨头磨耗,   轨头接触疲劳裂纹（又称鱼鳞纹）及掉块, 擦伤,    波形磨耗"
多选题,铁路行车安全监测设备是保障铁路运输安全的重要技术设备，应具备（）的功能。,"监测,    记录,    报警,    存取"
多选题,铁路行车组织工作，必须贯彻安全生产的方针，坚持（）的原则。,"   高度集中,    统一领导"
多选题,铁路技术设备的养护维修工作坚持（）的原则。,"预防为主,    检修与保养并重,    预防与整治相结合"
多选题,铁路技术设备应保持完整良好状态。根据（），安排设备检修。,"变化规律,    季节特点"
多选题,下穿铁路桥梁、涵洞的道路应按照国家标准设置车辆通过（）标志和限高防护架。,"   限宽,    限高"
多选题,下列哪些情况扣件应进行修理或更换（）。,"零部件损坏,    预埋套管损坏,    锚固螺栓扭矩（WJ-7型）不满足要求,    有螺栓弹条（WJ-7型、WJ-8型、300-1型扣件）紧固状态弹条中肢前端离缝超过1mm"
多选题,下列属于CRTSⅠ型板式无砟道床结构的是（）。,"轨道板,    水泥乳化沥青砂浆充填层, 混凝土底座,    凸形挡台"
多选题,下列属于WJ-7型扣件的是（）。,"T型螺栓,    弹条,    重型弹簧垫圈,    预埋套管"
多选题,下列属于防护员应携带的防护用品的是（）。,"红、黄色信号旗(昼),    短路铜线1条,    手持无线电台,    GSM-R手机"
多选题,下列属于钢轨折断的情况的有（）。,"钢轨全截面断裂,    裂纹贯通整个轨头截面,    裂纹贯通整个轨底截面,    钢轨顶面上有长度大于30mm且深度大于5mm的掉块"
多选题,下列属于工务部门管理的设备是（）。,"声屏障和风屏障,    客运专线旅客应急疏散通道,    轨道控制网"
多选题,以下属于线路轨旁结构的是（）。,"公里标,    半公里标,    警冲标,    轨道板接地线"
多选题,以下属于计划维修基本内容的是（）。,"钢轨预打磨、预防性打磨和修理性打磨, 钢轨、道岔及调节器等轨道部件整修,    焊接接头、胶接绝缘接头整修,   精测网控制点的检查和维护"
多选题,以下作业项目属于是施工项目的是（）。,"站场设备技术改造,    跨越或穿越线路的桥梁设备施工,    成组更换道岔"
多选题,以下作业项目属于是维修项目的是（）。,"轨道精调, 螺栓扣件涂油,    防护栅栏外的工务设备检查, 整理外观及修理、油刷线路标志"
多选题,正常情况下，在天窗时间外，检查人员不得进入（）范围内，必要时应封锁或限速，并做好防护后再检查。,"   桥面,    路肩"
多选题,高速铁路工务安全管理应坚持“（）”的原则。,"安全第一,    预防为主,    综合治理"
多选题,高速铁路在线间距不足6.5m地段施工维修而邻线来车时，现场防护员应及时通知作业人员，（）不得在两线间放置或停留。并与列车保持安全距离，物料应堆码放置牢固。,"机具,    物料,    人员"
多选题,高速铁路进入（）内检查、作业、设备故障及自然灾害应急处置，应设驻调度所（驻站）联络员，在现场设现场防护员。,"路基防护栅栏,    桥面,    隧道"
多选题,当设备发生故障，需在双线区间的一线上道检查、处理设备故障时，本线应封锁、邻线列车可以限速为（）。,"45km/h,    80km/h,    160km/h"
多选题,遇有暴风雨雪天气或地震，设备管理单位应加强对重点地段和设备的检查，在天窗时间外，检查人员不得进入（）范围内。,"路肩,    桥面,    隧道"
多选题,在区间或站内线路、道岔上维修时，现场防护人员应站在（）进行防护，在天窗内作业时，显示停车手信号。,"维修地点附近,    瞭望条件较好的地点"
多选题,正线作业人员下道避车(本线来车时）应遵守以下规定：垂直天窗邻线开行路用列车或V型天窗，应在本线一侧的（）避车。,"路肩,    桥梁作业通道,    隧道救援通道"
多选题,换装或者搬运（）等笨重轨料，应有专人指挥，尽量选择在平整的地面上行走；必须在坑洼不平或线路上行走时，应注意踏稳踩牢。,"钢轨,    混凝土枕,    辙叉"
多选题,进行接触（）物品作业，高处作业，以及使用电器、机械作业等必须按规定使用劳动保护用品。,"有毒,    易燃,    粉尘,    易爆"
多选题,高速铁路钢轨伤损形式主要有（）、硌伤、表面裂纹、内部裂纹和锈蚀等。,"轨头磨耗, 轨头接触疲劳裂纹（又称鱼鳞纹）及掉块,    擦伤,    波形磨耗"
多选题,钢轨伤损按程度分为（）三类。,"轻伤,    重伤,    折断"
多选题,严禁在钢轨（道岔轨件）的任何部分（），严禁锤击轨底。,"刻痕,    焊接附件"
多选题,高速铁路钢轨打磨分为（）。,"   预打磨,    预防性打磨,    修理性打磨"
多选题,高速铁路无砟轨道分为（）以及道岔区轨枕埋入式和板式无砟道床等。,"CRTSⅠ型板式,    CRTSⅡ型板式,    CRTSⅢ板式,    双块式"
多选题,高速铁路无砟道床伤损等级分为（）级。,"Ⅰ,    Ⅱ"
多选题,CRTSⅠ型板式无砟轨道结构由（）及其周围填充树脂,"凸形挡台,    轨道板,    水泥乳化沥青砂浆充填层,    混凝土底座"
多选题,CRTSⅡ型板式无砟轨道路基地段道床结构由（）等部分组成。,"轨道板,    水泥乳化沥青砂浆充填层,    支承层"
多选题,CRTSⅡ型板式无砟轨道桥梁地段道床结构由（）高强度挤塑板、侧向挡块及弹性限位板等部分组成。,"轨道板,    水泥乳化沥青砂浆充填层,    底座板,    滑动层"
多选题,CRTSⅡ型板式无砟轨道隧道地段道床结构由（）等部分组成。,"轨道板,    水泥乳化沥青砂浆充填层,    支承层"
多选题,CRTSⅡ型板式无砟轨道（）地段支承层不得有竖向贯通裂缝（不含横向切缝隙）。,"路基,    隧道"
多选题,CRTSⅢ型板式无砟轨道结构由（）、隔离层等组成。,"轨道板,    自密实混凝土层,   混凝土底座,  凹槽周围弹性垫层"
多选题,CRTS双块式无砟轨道路基地段连续道床结构由（）等部分组成。,"双块式轨枕,    道床板, 支承层"
多选题,道岔区轨枕埋入式无砟轨道桥梁地段（）顶面应设计隔离层。,"道床板,    底座"
多选题,高速铁路无砟轨道结构混凝土裂纹的修补方法可分为（）。,"表面封闭法,    无压注浆法,    低压注浆法,    柔性填充法"
多选题,高速铁路有砟轨道主要采用（）三种类型扣件。,"弹条IV型,    弹条V型,    FC型"
多选题,弹条V型扣件轨距调整量：－8～+4mm，通过更换不同号码的轨距挡板实现（）调整。,"轨距,    轨向"
多选题,高速铁路无砟轨道主要采用（）扣件。,"WJ-7型,    WJ-8型,    300-1型,    SFC型"
多选题,WJ-7型扣件由（）绝缘块、铁垫板、轨下垫板、绝缘缓冲垫板、重型弹簧垫圈、平垫块、锚固螺栓和预埋套管等组成。,"T型螺栓,    螺母,    平垫圈,    弹条"
多选题,WJ-8型扣件由（）轨距挡板、轨下垫板、铁垫板、铁垫板下弹性垫板和预埋套管等组成。,"螺旋道钉,    平垫圈,    弹条,    绝缘轨距块"
多选题,高速道岔按轨下基础可分为（）两种类型。,"   有砟道岔,    无砟道岔"
多选题,"无缝线路通过位移观测或测试分析，发现温度力分布严重不匀,应进行（）。","应力放散,    应力调整"
多选题,高速铁路常用钢轨焊接种类有（）。,"闪光焊接,    气压焊接,    铝热焊接"
多选题,道岔的（）巡视每10天不少于一遍。,"结构,    联结零件"
多选题,钢轨探伤评判分（）两种。,"轻伤,    重伤"
多选题,"钢轨外观及表面伤损检查应采用巡检设备与人工巡视相结合的方式对钢轨外观进行检查,发现钢轨（）及其他伤损时，应进行复核。","擦伤,    鱼鳞纹,    磨耗,    锈蚀"
多选题,《高速铁路线路维修规则》规定：线路计划维修、成段保养应采用大型养路机械进行全面（），并进行稳定。,"   起道,    拨道,    捣固"
多选题,轨道静态几何尺寸不平顺容许偏差管理值中，作业验收管理值为（）后的质量检查标准。,"   计划维修,    临时补修"
多选题,轨道动态几何不平顺的检测项目包括（）、三角坑、复合不平顺、轨距变化率、车体垂向和横向振动加速度等。,"轨距,    水平,    轨向,    高低"
多选题,高速铁路的线路标志包括（）。,"公里标,    半公里标"
多选题,铁路应根据沿线的（）、地质条件以及线路环境、设计速度等情况，建立相应的自然灾害及异物侵限监测系统。,"风速,    降雨量,    降雪量,    地震动峰值加速度"
多选题,防灾安全监控系统是（）以及地震监测子系统的集成系统。,"风速监测子系统,    雨量监测子系统,    雪量监测子系统,    异物侵限监控子系统"
多选题,风、雨监测设备由（）组成。,"风速计,    雨量计,    现场控制箱"
多选题,综合检测列车发现的（），应及时进行分析和处理，具体办法由铁路局集团公司规定,"轨道不平顺幅值突变处所, 轨向水平逆向复合不平顺和连续三波及多波, 长波高低, 轨向不平顺处所"
多选题,钢轨预防性打磨廓形宜根据（）综合设计。未进行打磨廓形设计时，可根据线路运行动车组类型，参考钢轨预打磨廓形对钢轨进行打磨。,"钢轨表面状态, 轮轨接触情况"
多选题,钢轨修理性打磨方案应根据（）等表面伤损程度，打磨后应保证伤损得到消除。,"波磨, 鱼鳞裂纹"
多选题,对工务有关的事故或故障，工务部门应（）吸取教训并采取有效措施，防止同类问题的再次发生。,"缜密调查, 科学分析, 找出原因"
多选题,对（）等需要临时封锁要点的施工按规定程序办理。,"突发性设备故障, 灾害的紧急抢修, 轨道状态超过临时补修标准, 重伤设备处理"
多选题,车辆动力学指标包括（）、轮轴横向力，横向力和垂向力通过综合检测列车的测力轮对来测量。,"脱轨系数, 轮重减载率, 轮轴横向力"
简答题,CRTSⅠ型板式无砟道床结构由哪些部分组成？,轨道板、水泥乳化沥青砂浆充填层、混凝土底座、凸形挡台及其周围填充树脂等部分组成。
简答题,CRTSⅡ型板式无砟轨道桥梁地段道床结构由哪些部分组成？,轨道板、水泥乳化沥青砂浆充填层、底座板、滑动层、高强度挤塑板、侧向挡块及弹性限位板等部分组成。
简答题,WJ-7型扣件组成部分由哪些？,由T型螺栓、螺母、平垫圈、弹条、绝缘块、铁垫板、轨下垫板、绝缘缓冲垫板、重型弹簧垫圈、平垫块、锚固螺栓和预埋套管等组成，为满足高低调整需要，还包括轨下调高垫板（或充填式垫板）、铁垫板下调高垫板。
简答题,WJ-8型扣件组成部分有哪些？,由螺旋道钉、平垫圈、弹条、绝缘轨距块、轨距挡板、轨下垫板、铁垫板、铁垫板下弹性垫板和预埋套管等组成。为满足高低调整需要，还包括轨下微调垫板和铁垫板下调高垫板。
简答题,对防寒工作，应提前做哪些准备？,①对有关人员进行防寒过冬培训，并按规定做好防寒劳动防护用品的配备和发放工作；②对铁路技术设备进行防寒过冬检查、整修，并根据需要做好包扎管路等工作；③做好易冻设备、物资的防冻解冻工作；④储备足够的防寒过冬材料、燃料和工具，检修好除冰雪机具和防雪设备，组织好除冰雪队伍。
简答题,钢轨伤损形式主要有哪几种？,轨头磨耗、轨头接触疲劳裂纹（又称鱼鳞纹）及掉块、擦伤、硌伤、波形磨耗、表面裂纹、内部裂纹和锈蚀等。
简答题,高速铁路有砟轨道路肩宽度设置要求？,线路设计速度为200km/h区段的路肩宽度不应小于1.0m；250km/h及以上区段双线不应小于1.4m，单线不应小于1.5m。
简答题,简述轨道静态几何尺寸容许偏差管理值中作业验收管理值、计划维修管理值的意义。,作业验收管理值为计划维修和临时补修作业后的质量检查标准；计划维修管理值为安排轨道维修计划的质量管理标准。
简答题,可不纳入天窗的维修项目主要包括哪些？,①防护栅栏外的工务设备检查、测量及维修；②不通向桥面范围的检查维修作业；③不进入防护栅栏门进行防护栅栏、救援疏散通道的修补。
简答题,钢轨折断判定标准是什么？,（1）钢轨全截面断裂；（2）裂纹贯通整个轨头截面；（3）裂纹贯通整个轨底截面；（4)钢轨顶面上有长度大于30mm且深度大于5mm的掉块。
简答题,设备管理单位人员发现设备故障时，应该怎么处理？,设备管理单位人员发现行车设备故障时，应立即通知列车调度员（车站控制时为车站值班员），报告工长、车间主任或设备管理单位调度，并在《行车设备检查登记簿》内登记，积极设法修复；对暂时不能修复的，应登记停用内容和影响范围，写明行车限制条件。
简答题,铁路技术设备的养护维修工作应坚持什么原则？,以预防为主、检修与保养并重、预防与整治相结合的原则。
简答题,现场防护员应佩戴标志，同时携带防护信号用品及数量？,①喇叭1个；②红、黄色信号旗(昼)各1面；③信号灯(夜)1盏；④短路铜线1条；⑤手持无线电台1个；⑥GSM-R手机1个。
简答题,遇到什么情况，车站可转为非常站控模式？,（1）调度集中设备故障；（2）行车设备施工、维修需要时；（3）行车设备故障，需现场准备进路时；（4）自动站间闭塞设备的车站因故改按半自动闭塞法行车；（5）发生危及行车安全的情况需要时。
简答题,作业“五不准”制度的内容是什么？,（1）设备病害地点未找准，不准作业；（2）设备病害原因分析不明，不准作业；（3）病害整治方案未制定，不准作业；（4）作业卡控措施未制定，不准作业；（5）人员、机具、材料未到位，不准作业。
简答题,线路维修工作的基本任务是什么？,保持线路设备状态完好，保证列车以规定速度安全、平稳、舒适和不间断地运行，并尽量延长设备使用寿命。
简答题,简述轨道静态几何尺寸容许偏差管理值中临时补修管理值、限速管理值的意义。,临时补修管理值为应及时进行轨道整修的质量控制标准；限速管理值为保证列车运行平稳性和舒适性，需立即进行限速的质量控制标准。
简答题,线路维修工作分为计划维修和临时补修。其中计划维修是指？,计划维修指根据线路及其部件的变化规律、特点以及轮轨匹配状态，按周期对线路设备进行的全面检查，依据设备状态评价结果，对钢轨、道岔、钢轨伸缩调节器（以下简称调节器）、扣件、轨枕、道床、无缝线路及轨道几何形位等进行单项或多项修理，以恢复线路完好技术状态。
简答题,线路维修工作分为计划维修和临时补修。其中临时补修是指？,临时补修指对轨道几何尺寸超过临时补修容许偏差管理值、轨道设备伤损或轮轨匹配状态不良的钢轨等影响其正常使用的处所进行临时性修理，以保证行车安全和平稳。
